disease,symptoms,severity,description,
Flu,"fever, cough, sore throat, runny nose, muscle aches, fatigue, headache",high,"Influenza (flu) is a contagious respiratory illness caused by viruses."
Common Cold,"cough, sore throat, runny nose, sneezing, congestion, headache, fatigue",low,"The common cold is a viral infection of the upper respiratory tract."
COVID-19,"fever, cough, shortness of breath, fatigue, loss of taste or smell, muscle aches",high,"COVID-19 is caused by the SARS-CoV-2 virus, leading to respiratory symptoms."
Pneumonia,"cough, fever, chills, difficulty breathing, chest pain",high,"Pneumonia is an infection that inflames the air sacs in the lungs."
Asthma,"shortness of breath, chest tightness, wheezing, coughing",moderate,"Asthma is a chronic condition where airways swell and narrow, making breathing difficult."
Allergies,"sneezing, itchy eyes, runny nose, congestion, hives, skin rash",low,"Allergies occur when the immune system reacts to foreign substances."
Diabetes,"increased thirst, frequent urination, extreme hunger, fatigue, blurred vision",high,"Diabetes occurs when blood glucose levels are too high."
Hypertension,"headaches, shortness of breath, nosebleeds, dizziness",moderate,"Hypertension is persistently high blood pressure."
Migraine,"severe headache, nausea, vomiting, sensitivity to light",moderate,"A migraine is an intense headache, often with nausea and sensitivity to light or sound."
Heart Attack,"chest pain, shortness of breath, nausea, cold sweat",high,"A heart attack occurs when blood flow to part of the heart is blocked."
Stroke,"numbness, confusion, trouble speaking, vision problems",high,"A stroke occurs when the brain's blood supply is interrupted."
Gastroenteritis,"diarrhea, vomiting, stomach pain, fever, chills",moderate,"Gastroenteritis is inflammation of the stomach and intestines, often caused by infection."
Appendicitis,"abdominal pain, nausea, vomiting, loss of appetite",high,"Appendicitis is inflammation of the appendix, requiring surgery."
Chronic Kidney Disease,"fatigue, swollen ankles, high blood pressure, muscle cramps",high,"Chronic kidney disease is the gradual loss of kidney function over time."
Hepatitis,"fatigue, nausea, abdominal pain, jaundice, dark urine",high,"Hepatitis is inflammation of the liver, often caused by infection or toxins."
Osteoarthritis,"joint pain, stiffness, swelling, loss of flexibility",moderate,"Osteoarthritis occurs when the protective cartilage that cushions bones wears down."
Rheumatoid Arthritis,"joint pain, swelling, fever, stiffness, fatigue",high,"An autoimmune disorder where the immune system attacks the joints."
Anxiety Disorders,"nervousness, rapid heartbeat, sweating, trembling, fatigue",moderate,"A group of mental health disorders characterized by significant anxiety or fear."
Depression,"persistent sadness, loss of interest, fatigue, changes in sleep",high,"Depression is a mood disorder causing persistent sadness and hopelessness."
Eczema,"itchy skin, redness, swelling, dryness",moderate,"Eczema causes inflamed, itchy, cracked, and rough skin.",
Psoriasis,"red patches, silver scales, dry skin, itching",moderate,"Psoriasis is a chronic autoimmune condition that causes rapid skin cell buildup."
Tuberculosis,"cough, fever, night sweats, weight loss, fatigue",high,"Tuberculosis is a serious infectious disease that mainly affects the lungs."
Celiac Disease,"diarrhea, bloating, fatigue, weight loss, constipation",high,"Celiac disease is triggered by ingestion of gluten, damaging the small intestine."
HIV/AIDS,"fever, fatigue, swollen lymph nodes, weight loss, skin rashes",high,"HIV weakens the immune system, leading to AIDS."
COPD,"shortness of breath, wheezing, chest tightness, chronic cough",high,"Chronic Obstructive Pulmonary Disease is a progressive lung disease."
Hypothyroidism,"fatigue, weight gain, cold intolerance, dry skin",moderate,"Hypothyroidism is an underactive thyroid gland, slowing down metabolism."
Hyperthyroidism,"weight loss, rapid heartbeat, sweating, nervousness",high,"Hyperthyroidism is an overactive thyroid gland, speeding up metabolism."
Gout,"joint pain, swelling, redness, tenderness",moderate,"A form of arthritis caused by excess uric acid in the blood, forming crystals in the joints."
Bipolar Disorder,"mood swings, energy changes, depression, irritability",high,"A mental health disorder causing extreme mood swings, including mania and depression."
OCD,"recurrent thoughts, anxiety, compulsive rituals",moderate,"Obsessive-Compulsive Disorder involves uncontrollable thoughts and repetitive behaviors."
